,perturbation,n,r2,fid
436,GDPD5,375,0.9885342179100255,0.16690914535753265
437,SAPCD2,374,0.9892455386133739,0.0786781174926805
438,FOXL2,374,0.9869725606469177,0.13452007636320928
439,LITAF,374,0.9897393540752367,0.19032184892593484
440,ST13,374,0.9895834847773395,0.14629812656585628
441,ERVW-1,374,0.9906250701849696,0.16809011690008546
442,RASSF5,373,0.9885290930250976,0.13561216834322565
443,FEZ2,373,0.9897559474223875,0.09074049722957866
444,USP47,373,0.990087171287542,0.16551603144782945
445,TGS1,373,0.9899014465750086,0.13132709793662478
446,EGR1,373,0.98850584767131,0.2065421983293625
447,RASSF1,373,0.9895480074203431,0.21324096905281742
448,ZNF540,373,0.9900111967173967,0.14595351452501681
449,RAB5C,373,0.9899871432176841,0.1877856220777545
450,ZNF629,373,0.9893796310337656,0.21027709154959773
451,TRAF7,373,0.990385135299663,0.14649662223520643
452,MGAT1,372,0.9902917410208879,0.13240712269258736
453,PMAIP1,372,0.9894668728754482,0.1798308092376466
454,RABGAP1L,372,0.9904241026149332,0.12997210603965037
455,ZNF763,372,0.990563275648425,0.17609014400348677
456,GBX1,372,0.9905266610706076,0.09336511457316732
457,SPIB,372,0.9906089441514865,0.11193084446243873
458,PNKP,372,0.9889025954603148,0.24254968432689772
459,LIMK1,372,0.9904822612948957,0.20165543248003814
460,TBL2,371,0.9889761149405747,0.1469668290992754
461,DPP7,371,0.9906287996698756,0.16555254510440776
462,NEUROD1,371,0.990817331259177,0.10515881019991902
463,PRCP,371,0.9900917534026171,0.09837022212493451
464,NPEPPS,371,0.9869458528843135,0.23866877961907917
465,PSME2,371,0.9904928251805383,0.13250053357036506
466,RCBTB2,371,0.9903777624327788,0.16046204878776393
467,SPDYE2,370,0.9901050114812121,0.17357685501784914
468,LHX8,370,0.9910989556632465,0.12739232906088205
469,PTPN23,370,0.9894995298067811,0.16134272584165998
470,PTPN1,370,0.9336229653760646,7.1827172557217995
471,IBTK,370,0.9905232412736618,0.12189037099223299
472,HSFX1,369,0.9894085873074484,0.18541383821120938
473,MRPS6,369,0.9870352119208208,0.31003448843188863
474,ELP2,369,0.9884121517326784,0.17419821854585926
475,ZNF319,369,0.9902836480900048,0.20105440280368114
476,LONRF3,369,0.9901496524255569,0.17664474539274444
477,SP100,369,0.990030309246108,0.22767701783897287
478,DOK1,368,0.9904550104121219,0.16895183128141866
